edge_id,weekday_index,weekday_name,local_hour,contributing_sensor_count,sample_count,mean_count,minimum_count,maximum_count,network_version
edge_051a94ac5e0e70bf844cc3b0,0,Monday,7,1,5,3.0,1,4,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,0,Monday,8,1,5,7.6,1,13,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,0,Monday,9,1,5,9.4,6,15,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,0,Monday,10,1,5,11.6,6,24,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,0,Monday,11,1,5,19.6,2,67,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,0,Monday,12,1,5,26.8,20,37,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,0,Monday,13,1,5,16.0,13,21,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,0,Monday,14,1,5,12.2,8,17,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,0,Monday,15,1,5,13.4,3,20,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,0,Monday,16,1,5,12.0,3,24,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,0,Monday,17,1,5,6.6,2,11,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,1,Tuesday,7,1,4,2.25,1,4,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,1,Tuesday,8,1,4,9.75,6,19,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,1,Tuesday,9,1,4,9.5,8,11,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,1,Tuesday,10,1,4,10.5,7,14,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,1,Tuesday,11,1,4,7.5,2,15,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,1,Tuesday,12,1,4,23.0,18,31,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,1,Tuesday,13,1,4,14.75,10,20,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,1,Tuesday,14,1,4,26.75,11,65,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,1,Tuesday,15,1,4,17.75,10,27,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,1,Tuesday,16,1,4,14.5,11,17,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,1,Tuesday,17,1,4,14.5,5,32,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,2,Wednesday,7,1,5,2.0,1,4,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,2,Wednesday,8,1,5,8.2,4,13,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,2,Wednesday,9,1,5,8.6,3,14,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,2,Wednesday,10,1,5,9.0,4,15,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,2,Wednesday,11,1,5,41.0,7,166,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,2,Wednesday,12,1,5,21.2,15,30,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,2,Wednesday,13,1,5,27.2,11,50,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,2,Wednesday,14,1,5,25.0,6,68,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,2,Wednesday,15,1,5,8.0,6,10,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,2,Wednesday,16,1,5,12.4,4,23,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,2,Wednesday,17,1,5,6.0,1,15,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,2,Wednesday,19,1,1,2.0,2,2,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,3,Thursday,7,1,5,3.4,1,7,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,3,Thursday,8,1,5,11.2,8,13,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,3,Thursday,9,1,5,7.8,4,11,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,3,Thursday,10,1,5,7.0,4,14,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,3,Thursday,11,1,5,15.0,9,23,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,3,Thursday,12,1,5,20.8,11,34,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,3,Thursday,13,1,5,22.2,16,33,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,3,Thursday,14,1,5,18.6,12,30,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,3,Thursday,15,1,5,9.0,3,11,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,3,Thursday,16,1,5,15.0,4,30,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,3,Thursday,17,1,5,6.6,2,13,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,4,Friday,7,1,5,1.8,1,3,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,4,Friday,8,1,5,7.4,6,9,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,4,Friday,9,1,5,8.4,1,16,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,4,Friday,10,1,5,13.0,7,19,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,4,Friday,11,1,5,9.8,3,14,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,4,Friday,12,1,5,20.2,5,29,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,4,Friday,13,1,5,19.0,11,28,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,4,Friday,14,1,5,14.8,8,23,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,4,Friday,15,1,5,21.0,13,28,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,4,Friday,16,1,5,13.4,10,18,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,4,Friday,17,1,5,7.8,5,12,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,5,Saturday,7,1,2,1.5,1,2,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,5,Saturday,8,1,5,4.2,1,15,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,5,Saturday,9,1,5,9.4,6,11,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,5,Saturday,10,1,5,14.4,3,37,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,5,Saturday,11,1,5,10.8,7,14,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,5,Saturday,12,1,5,27.2,13,57,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,5,Saturday,13,1,5,24.2,11,44,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,5,Saturday,14,1,5,17.0,5,37,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,5,Saturday,15,1,5,16.4,7,35,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,5,Saturday,16,1,5,23.0,14,38,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,5,Saturday,17,1,5,13.0,8,17,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,6,Sunday,7,1,3,2.33,1,4,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,6,Sunday,8,1,5,2.8,1,6,cceb975fc0c92f16f660
edge_051a94ac5e0e70bf844cc3b0,6,Sunday,9,1,5,14.2,3,45,cceb975fc0c92f16f660
