location_id,edge_id,snap_distance_m,mapping_status,mapping_confidence,network_version,sensor_name,sensor_description,source_status,quality_flags
1,edge_2aebd88a9b4f9115f9446f05,0.438,AUTO,HIGH,cceb975fc0c92f16f660,Bou292_T,Bourke Street Mall (North),A,[]
2,edge_fc9d3c9fae4b79a01ccb3bc3,0.723,AUTO,HIGH,cceb975fc0c92f16f660,Bou283_T,Bourke Street Mall (South),A,[]
3,edge_b4b07b546e5e09648c59ca0f,1.8,AUTO,HIGH,cceb975fc0c92f16f660,Swa295_T,Melbourne Central,A,[]
4,edge_d059aca71152efc48dd2b9f9,1.831,AUTO,HIGH,cceb975fc0c92f16f660,Swa123_T,Town Hall (West),A,[]
5,edge_73634a0b6115fe88a6d56e22,9.506,AUTO,HIGH,cceb975fc0c92f16f660,PriNW_T,Princes Bridge,A,[]
6,edge_d0c69ad191dc656fe8d25826,4.454,AUTO,HIGH,cceb975fc0c92f16f660,FliS_T,Flinders Underpass - Myki Barriers,A,[]
8,edge_e9f40889444330670b3a2469,0.944,AUTO,HIGH,cceb975fc0c92f16f660,WebBN_T,Webb Bridge,A,[]
9,edge_acea86a60643d6f261ad7fa4,4.06,AUTO,HIGH,cceb975fc0c92f16f660,Col700_T,Southern Cross Station,A,[]
10,edge_1757f7da8aa22df6ab21a585,4.414,AUTO,HIGH,cceb975fc0c92f16f660,BouHbr_T,Victoria Point,A,[]
11,edge_84c601c570c592692120365c,0.473,AUTO,HIGH,cceb975fc0c92f16f660,WatCit_T,Docklands Waterfront City Building Side,A,[]
12,edge_88ad44e58ddc06d7e45624fc,4.173,AUTO,HIGH,cceb975fc0c92f16f660,NewQ_T,New Quay,A,[]
14,edge_acd120ed146d121cf208daf2,3.711,AUTO,HIGH,cceb975fc0c92f16f660,SanBri_T,Sandridge Bridge,A,[]
17,edge_0b3a5bd14bb330fd02dd446a,2.183,AUTO,HIGH,cceb975fc0c92f16f660,Col15_T,Collins Place (South),A,[]
18,edge_086466482c63c05acf631526,0.817,AUTO,HIGH,cceb975fc0c92f16f660,Col12_T,Collins Place (North),A,[]
19,edge_c32fe215ff35189f235482bd,8.466,AUTO,HIGH,cceb975fc0c92f16f660,LtB210_T,Chinatown-Swanston St (North),A,[]
20,edge_79a8775074fd1d862b5d0b6c,2.39,AUTO,HIGH,cceb975fc0c92f16f660,LtB170_T,Chinatown-Lt Bourke St (South),A,[]
21,edge_0a6c99d2dbfd4b2f918d896d,0.26,AUTO,HIGH,cceb975fc0c92f16f660,Bourke155_T,155-161 Russell Street,A,[]
23,edge_5689d2db43cb2d8b191006d5,1.124,AUTO,HIGH,cceb975fc0c92f16f660,Col623_T,Spencer St-Collins St (South),A,[]
24,edge_730a51c26df9e46dd1c779e4,2.268,AUTO,HIGH,cceb975fc0c92f16f660,Col620_T,Spencer St-Collins St (North),A,[]
25,edge_b25debfcf421551d31328196,9.162,AUTO,HIGH,cceb975fc0c92f16f660,MCEC_T,Melbourne Convention Exhibition Centre,A,[]
27,edge_07f56ae59bcf17060fa20065,0.245,AUTO,HIGH,cceb975fc0c92f16f660,Vic_T,QV Market-Peel St,A,[]
29,edge_443a111e5b1b25f4f1a15ad0,2.503,AUTO,HIGH,cceb975fc0c92f16f660,AG_T,St Kilda Rd-Alexandra Gardens,A,[]
30,edge_3411b59243ca697f82b8c10f,2.104,AUTO,HIGH,cceb975fc0c92f16f660,Lon189_T,Lonsdale St (South),A,[]
31,edge_4c375e8c8db0613f5b8cae2e,0.551,AUTO,HIGH,cceb975fc0c92f16f660,Lyg161_T,Lygon St (West),A,[]
35,edge_87478c9463a1a5f3342e8ef7,1.012,AUTO,HIGH,cceb975fc0c92f16f660,SouthB_T,Southbank Promenade,A,[]
36,edge_e490efab6b8def3c2ae0efb8,2.158,AUTO,HIGH,cceb975fc0c92f16f660,Que85_T,Queen St (West),A,[]
37,edge_940758f4898d3192dbc7f3b5,0.027,AUTO,HIGH,cceb975fc0c92f16f660,Lyg260_T,Lygon St (East),A,[]
39,edge_64ea2b439b0aa31bf525a8f4,0.07,AUTO,HIGH,cceb975fc0c92f16f660,AlfPl_T,Alfred Place,A,[]
